"Model Number","sSpec Number","Frequency","L2-Cache","Front Side Bus","Multiplier","Voltage","TDP","Socket","Release Date","Part Number(s)"
"Single Core","","","","","","","","","",""
"Xeon 1.8","SL5Z8 (B0) SL622 (B0) SL6EL (C1) SL6JX (C1) SL6W3 (D1) SL6YS (D1)","1800 MHz","512 KB","400 MT/s","18x","1.5 V","55 W","Socket 603","February 25, 2002","RN80532KC033512 BX80532KC1800D"
"Xeon 2.0A","SL5Z9 (B0) SL623 (B0) SL6EM (C1) SL6JY (C1) SL6W6 (D1) SL6YT (D1)","2000 MHz","512 KB","400 MT/s","20x","1.5 V","58 W","Socket 603","February 25, 2002","RN80532KC041512 BX80532KC2000D"
"Xeon 2.0B","SL6NP (C1) SL6RQ (C1) SL6VK (D1) SL6YM (D1) SL72C (M0) SL73K (M0)","2000 MHz","512 KB","533 MT/s","15x","1.5 V","58 W","Socket 604","November 18, 2002","RK80532KE041512"
"Xeon 2.2","SL5ZA (B0) SL624 (B0) SL6EN (C1) SL6JZ (C1) SL6W7 (D1) SL6YU (D1)","2200 MHz","512 KB","400 MT/s","22x","1.5 V","61 W","Socket 603","February 25, 2002","RN80532KC049512 BX80532KC2200D"
"Xeon 2.4","SL65T (B0) SL687 (B0) SL6EP (C1) SL6K2 (C1) SL6W8 (D1) SL6YV (D1)","2400 MHz","512 KB","400 MT/s","24x","1.5 V","65 W","Socket 603","April 23, 2002","RN80532KC056512 BX80532KC2400D"
"Xeon 2.4B","SL6GD (C1) SL6NQ (C1) SL6VL (D1) SL6YN (D1) SL72D (M0) SL73L (M0)","2400 MHz","512 KB","533 MT/s","18x","1.5 V","65 W","Socket 604","November 18, 2002","RK80532KE056512"
"Xeon 2.6","SL6EQ (C1) SL6K3 (C1) SL6W9 (D1) SL6YW (D1)","2600 MHz","512 KB","400 MT/s","26x","1.5 V","60 W","Socket 603","September 11, 2002","RN80532KC064512 BX80532KC2600D"
"Xeon 2.66","SL6GF (C1) SL6NR (C1) SL6VM (D1) SL6YP (D1) SL72E (M0) SL73M (M0)","2667 MHz","512 KB","533 MT/s","20x","1.5 V","72/77 W","Socket 604","November 18, 2002","RK80532KE067512"
"Xeon 2.8","SL6M7 (C1) SL6MS (C1) SL6WA (D1) SL6YX (D1)","2800 MHz","512 KB","400 MT/s","28x","1.5 V","74 W","Socket 603","September 11, 2002","RN80532KC072512 BX80532KC2800D"
"Xeon 2.8B","SL6GG (C1) SL6NS (C1) SL6VN (D1) SL6YQ (D1) SL72F (M0) SL73N (M0)","2800 MHz","512 KB","533 MT/s","21x","1.5 V","74 W","Socket 604","November 18, 2002","RK80532KE072512"
"Xeon 3.0","SL6VW (C1) SL6X4 (C1) SL6WB (D1) SL6YY (D1)","3000 MHz","512 KB","400 MT/s","30x","1.525 V","85 W","Socket 603","March 10, 2003","RN80532KC080512"
"Xeon 3.06","SL6GH (C1) SL6RR (C1) SL6VP (D1) SL6YR (D1)","3066 MHz","512 KB","533 MT/s","23x","1.525 V","85 W","Socket 604","March 10, 2003","RK80532KE083512"
"Single Core, low voltage","","","","","","","","","",""
"Xeon LV 1.6","SL6XK (D1)","1600 MHz","512 KB","400 MT/s","16x","1.187–1.274 V","30 W","Socket 604","September 2003","RK80532EC025512"
"Xeon LV 2.0","SL6XL (D1)","2000 MHz","512 KB","400 MT/s","20x","1.179–1.27 V","35 W","Socket 604","September 2003","RK80532EC041512"
"Xeon LV 2.4","SL74T (D1)","2400 MHz","512 KB","533 MT/s","18x","1.17–1.265 V","40 W","Socket 604","September 2003","RK80532EE056512"
