"Model Number","sSpec Number","Frequency","L2 Cache","L3 Cache","FSB","Mult","Voltage","TDP","Socket","Release Date","Part Number(s)","Release Price (USD)"
"Quad Core","","","","","","","","","","","",""
"Xeon E7420","SLG9G (A1)","2133 MHz","2 × 3 MB","8 MB","1066 MT/s","8×","0.9–1.45 V","90 W","Socket 604","September 15, 2008","AD80583QH0468M","$1177"
"Xeon E7430","SLG9H (A1)","2133 MHz","2 × 3 MB","12 MB","1066 MT/s","8×","0.9–1.45 V","90 W","Socket 604","September 15, 2008","AD80583QH046003","$1391"
"Xeon E7440","SLG9J (A1)","2400 MHz","2 × 3 MB","16 MB","1066 MT/s","9×","0.9–1.45 V","90 W","Socket 604","September 15, 2008","AD80583QH056007","$1980"
"Quad Core, low voltage","","","","","","","","","","","",""
"Xeon L7445","SLG9L (A1)","2133 MHz","2 × 3 MB","12 MB","1066 MT/s","8×","0.9–1.45 V","50 W","Socket 604","September 15, 2008","AD80583JH046003","$1980"
"Six Core","","","","","","","","","","","",""
"Xeon E7450","SLG9K (A1)","2400 MHz","3 × 3 MB","12 MB","1066 MT/s","9×","0.9–1.45 V","90 W","Socket 604","September 15, 2008","AD80582QH056003","$2301"
"Xeon E7458","SLG9N (A1)","2400 MHz","3 × 3 MB","16 MB","1066 MT/s","9×","0.9–1.45 V","90 W","Socket 604","September 15, 2008","AD80582QH056007","OEM"
"Xeon X7460","SLG9P (A1)","2667 MHz","3 × 3 MB","16 MB","1066 MT/s","10×","0.9–1.45 V","130 W","Socket 604","September 15, 2008","AD80582KH067007","$2729"
"Six Core, low voltage","","","","","","","","","","","",""
"Xeon L7455","SLG9M (A1)","2133 MHz","3 × 3 MB","12 MB","1066 MT/s","8×","0.9–1.45 V","65 W","Socket 604","September 15, 2008","AD80582JH046003","$2729"
