"Model number","sSpec number","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Pentium III Xeon 600","SL3BJ (A2) SL3WM (B0) SL3BK (A2) SL3WN (B0) SL3SS (A2)","600 MHz","256 KiB","133 MT/s","4.5×","5–12 V","19.2 W","Slot 2","October 1999","80526KZ600256 BX80526KZ600256","$505"
"Pentium III Xeon 667","SL3BL (A2) SL3WP (B0) SL3DC (A2) SL3WQ (B0) SL3ST (A2)","667 MHz","256 KiB","133 MT/s","5×","5–12 V","21.3 W","Slot 2","October 25, 1999","80526KZ667256","OEM"
"Pentium III Xeon 700","SL3U4, SL4GD, SL3U5, SL4GE (A0) SL49P, SL49Q, SL4RZ (A1) SL4XU (B1) SL5D4, SL4XV (B0)","700 MHz","1 MiB","100 MT/s","7×","5–12 V","29.6 W","Slot 2","May 22, 2000","80526KY7001M","OEM"
"Pentium III Xeon 700","SL49R, SL49S, SL4R3 (A1) SL3WZ, SL4GF, SL3X2, SL4GG (A0) SL4XW, SL5D5, SL4XX (B0)","700 MHz","2 MiB","100 MT/s","7×","5–12 V","29.6 W","Slot 2","May 22, 2000","80526KY7002M","OEM"
"Pentium III Xeon 733","SL3SF (A2) SL3SG (A2) SL3SU (A2) SL3WR (B0) SL3WS (B0) SL4H6 (C0) SL4H7 (C0)","733 MHz","256 KiB","133 MT/s","5.5×","5–12 V","23.3 W","Slot 2","October 25, 1999","80526KZ733256","OEM"
"Pentium III Xeon 800","SL3V2 (A2) SL3V3 (A2) SL3VU (A2) SL3WT (B0) SL3WU (B0) SL4H8 (C0) SL4H9 (C0)","800 MHz","256 KiB","133 MT/s","6×","5–12 V","25.4 W","Slot 2","January 12, 2000","80526KZ800256","OEM"
"Pentium III Xeon 866","SL3WV (B0) SL3WW (B0) SL4PZ (B0) SL4HA (C0) SL4HB (C0) SL4U2 (C0)","867 MHz","256 KiB","133 MT/s","6.5×","5–12 V","29.6 W","Slot 2","March 13, 2000","80526KZ866256 BX80526KZ866256 BX80526KB866256","OEM"
"Pentium III Xeon 900","SL4XY (B0) SL4XZ (B0) SL5D3 (B0)","900 MHz","2 MiB","100 MT/s","9×","5–12 V","39.3 W","Slot 2","March 21, 2001","80526KY9002M","OEM"
"Pentium III Xeon 933","SL3WX (B0) SL3WY (B0) SL4HC (C0) SL4HD (C0) SL4R9 (C0) SL4U3 (C0)","933 MHz","256 KiB","133 MT/s","7×","5–12 V","29.6 W","Slot 2","July 2000","80526KZ933256 80526KB933256","OEM"
"Pentium III Xeon 1.00","SL4HE (C0) SL4HF (C0) SL4Q2 (C0)","1000 MHz","256 KiB","133 MT/s","7.5×","5–12 V","30.8 W","Slot 2","August 22, 2000","80526KZ1000256 80526KB001256","OEM"
