"Model number","sSpec number","Cores","Frequency","L2 cache","FSB","Mult.","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","",""
"Xeon E5310","SL9XR (B3) SLACB (B3) SLAEM (G0)","4","1.6 GHz","2 × 4 MiB","1066 MT/s","6×","1.0–1.5 V","80 W","LGA 771","November 14, 2006","HH80563QH0258M","$455"
"Xeon E5320","SL9MV (B3) SLAC8 (B3) SLAEL (G0)","4","1.87 GHz","2 × 4 MiB","1066 MT/s","7×","1.0–1.5 V","80 W","LGA 771","November 14, 2006","HH80563QH0368M","$690"
"Xeon E5330","SL9MW","4","2.13 GHz","2 × 4 MiB","1066 MT/s","8×","1.0–1.5 V","80 W","LGA 771","","HH80563QH0468M","OEM"
"Xeon E5335","SL9YK (B3) SLAC7 (B3) SLAEK (G0)","4","2 GHz","2 × 4 MiB","1333 MT/s","6×","1.0–1.5 V","80 W","LGA 771","November 14, 2006","HH80563QJ0418M","$690"
"Xeon E5340","SL9MY","4","2.4 GHz","2 × 4 MiB","1066 MT/s","9×","1.0–1.5 V","80 W","LGA 771","","HH80563KH0568M","OEM"
"Xeon E5345","SL9YL (B3) SLAC5 (B3) SLAEJ (G0)","4","2.33 GHz","2 × 4 MiB","1333 MT/s","7×","1.0–1.5 V","80 W","LGA 771","November 14, 2006","HH80563QJ0538M","$851"
"Xeon E5350, X5350","SL9N2","4","2.67 GHz","2 × 4 MiB","1066 MT/s","10×","1.0–1.5 V","80,120 W","LGA 771","","HH80563KH0678M","OEM"
"Xeon X5355","SL9YM (B3) SLAC4 (B3) SLAEG (G0)","4","2.67 GHz","2 × 4 MiB","1333 MT/s","8×","1.0–1.5 V","120 W","LGA 771","November 14, 2006","HH80563KJ0678M","$1172"
"Xeon X5365","SLAC3 (B3) SLAED (G0)","4","3 GHz","2 × 4 MiB","1333 MT/s","9×","1.0–1.5 V","150,120 W","LGA 771","March 12, 2007","HH80563KJ0808MP","$1350"
"Quad Core, low voltage","","","","","","","","","","","",""
"Xeon L5310","SL9MT (B3) SLACA (B3) SLAEQ (G0)","4","1.6 GHz","2 × 4 MiB","1066 MT/s","6×","1.1–1.25 V","50 W","LGA 771","March 12, 2007","HH80563JH0258M","$455"
"Xeon L5318","SLAJE (G0)","4","1.6 GHz","2 × 4 MiB","1066 MT/s","6×","0.9–1.25 V","40 W","LGA 771","August 13, 2007","HH80563JH0258MT","OEM"
"Xeon L5320","SLA4Q (B3) SLAC9 (B3) SLAEP (G0)","4","1.87 GHz","2 × 4 MiB","1066 MT/s","7×","1.1–1.25 V","50 W","LGA 771","March 12, 2007","HH80563JH0368M","$519"
"Xeon L5335","SLAEN (G0)","4","2 GHz","2 × 4 MiB","1333 MT/s","6×","1.1–1.25 V","50 W","LGA 771","August 13, 2007","HH80563JJ0418MP","$380"
