"Model number","sSpec number","Frequency","Turbo","Cores","L2 cache","L3 cache","I/O bus","Mult.","Memory","Voltage","TDP","Socket","Release date","Part number(s)","Release price (USD)"
"Dual Core","","","","","","","","","","","","","","",""
"Xeon E5502","SLBEZ (D0)","1.87 GHz","N/A","2","2 × 256 KiB","4 MiB","2 × 4.8 GT/s QPI","14×","3 × DDR3-800","0.75–1.35 V","80 W","LGA 1366","March 30, 2009","AT80602000804AA","$188"
"Xeon E5503","SLBKD (D0)","2 GHz","N/A","2","2 × 256 KiB","4 MiB","2 × 4.8 GT/s QPI","15×","3 × DDR3-800","0.75–1.35 V","80 W","LGA 1366","March 16, 2010","AT80602003636AA","$224"
"Dual Core, low voltage","","","","","","","","","","","","","","",""
"Xeon L5508","SLBGK (D0)","2 GHz","2/3","2","2 × 256 KiB","8 MiB","2 × 5.86 GT/s QPI","15×","3 × DDR3-1066","0.75–1.35 V","38 W","LGA 1366","March 30, 2009","AT80602002697AC","$440"
"Quad Core","","","","","","","","","","","","","","",""
"Xeon E5504","SLBF9 (D0)","2 GHz","N/A","4","4 × 256 KiB","4 MiB","2 × 4.8 GT/s QPI","15×","3 × DDR3-800","0.75–1.35 V","80 W","LGA 1366","March 30, 2009","AT80602000801AA","$224"
"Xeon E5506","SLBF8 (D0)","2.13 GHz","N/A","4","4 × 256 KiB","4 MiB","2 × 4.8 GT/s QPI","16×","3 × DDR3-800","0.75–1.35 V","80 W","LGA 1366","March 30, 2009","AT80602000798AA","$266"
"Xeon E5507","SLBKC (D0)","2.27 GHz","N/A","4","4 × 256 KiB","4 MiB","2 × 4.8 GT/s QPI","17×","3 × DDR3-800","0.75–1.35 V","80 W","LGA 1366","March 16, 2010","AT80602000795AA","$266"
"Xeon E5520","SLBFD (D0)","2.27 GHz","1/1/1/2","4","4 × 256 KiB","8 MiB","2 × 5.86 GT/s QPI","17×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","March 30, 2009","AT80602002091AA","$373"
"Xeon E5530","SLBF7 (D0)","2.4 GHz","1/1/1/2","4","4 × 256 KiB","8 MiB","2 × 5.86 GT/s QPI","18×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","March 30, 2009","AT80602000792AA","$530"
"Xeon E5540","SLBF6 (D0)","2.53 GHz","1/1/1/2","4","4 × 256 KiB","8 MiB","2 × 5.86 GT/s QPI","19×","3 × DDR3-1066","0.75–1.35 V","80 W","LGA 1366","March 30, 2009","AT80602000789AA","$774"
"Xeon X5550","SLBF5 (D0)","2.67 GHz","2/2/3/3","4","4 × 256 KiB","8 MiB","2 × 6.4 GT/s QPI","20×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","March 30, 2009","AT80602000771AA","$958"
"Xeon X5560","SLBF4 (D0)","2.8 GHz","2/2/3/3","4","4 × 256 KiB","8 MiB","2 × 6.4 GT/s QPI","21×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","March 30, 2009","AT80602000768AA","$1172"
"Xeon X5570","SLBF3 (D0)","2.93 GHz","2/2/3/3","4","4 × 256 KiB","8 MiB","2 × 6.4 GT/s QPI","22×","3 × DDR3-1333","0.75–1.35 V","95 W","LGA 1366","March 30, 2009","AT80602000765AA","$1386"
"Xeon W5580","SLBF2 (D0)","3.2 GHz","1/1/1/2","4","4 × 256 KiB","8 MiB","2 × 6.4 GT/s QPI","24×","3 × DDR3-1333","0.75–1.35 V","130 W","LGA 1366","March 30, 2009","AT80602000756AD","$1600"
"Xeon W5590","SLBGE (D0)","3.33 GHz","1/1/1/2","4","4 × 256 KiB","8 MiB","2 × 6.4 GT/s QPI","25×","3 × DDR3-1333","0.75–1.35 V","130 W","LGA 1366","August 9, 2009","AT80602000753AA","$1600"
"Quad Core, low voltage","","","","","","","","","","","","","","",""
"Xeon L5506","SLBFH (D0)","2.13 GHz","N/A","4","4 × 256 KiB","4 MiB","2 × 4.8 GT/s QPI","16×","3 × DDR3-800","0.75–1.35 V","60 W","LGA 1366","March 30, 2009","AT80602002712AA","$423"
"Xeon L5518","SLBFW (D0)","2.13 GHz","1/1/1/2","4","4 × 256 KiB","8 MiB","2 × 5.86 GT/s QPI","16×","3 × DDR3-1066","0.75–1.35 V","60 W","LGA 1366","March 30, 2009","AT80602002265AB","$551"
"Xeon L5520","SLBFA (D0)","2.27 GHz","1/1/1/2","4","4 × 256 KiB","8 MiB","2 × 5.86 GT/s QPI","17×","3 × DDR3-1066","0.75–1.35 V","60 W","LGA 1366","March 30, 2009","AT80602000810AA","$530"
"Xeon L5530","SLBGF (D0)","2.4 GHz","1/1/1/2","4","4 × 256 KiB","8 MiB","2 × 5.86 GT/s QPI","18×","3 × DDR3-1066","0.75–1.35 V","60 W","LGA 1366","August 9, 2009","AT80602002927AB","$744"
