"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","GPU model","GPU frequency","TDP","Socket","I/O bus","Release date","Part number(s)","Release price (USD)"
"Dual Core, low power","","","","","","","","","","","","","",""
"Xeon E3-1220L v2","SR0R6 (L1)","2","2.3 GHz","10/12","2 × 256 KiB","3 MiB","N/A","N/A","17 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701099001","$189"
"Quad Core","","","","","","","","","","","","","",""
"Xeon E3-1220 v2","SR0PH (E1)","4","3.1 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","69 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701160503 BX80637E31220V2","$189 $203"
"Xeon E3-1225 v2","SR0PJ (E1)","4","3.2 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4000","650–1250 MHz","77 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701160603 BX80637E31225V2","$209 $224"
"Xeon E3-1230 v2","SR0P4 (E1)","4","3.3 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","69 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701098101 BX80637E31230V2","$215 $230"
"Xeon E3-1240 v2","SR0P5 (E1)","4","3.4 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","69 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701098201 BX80637E31240V2","$250 $261"
"Xeon E3-1245 v2","SR0P9 (E1)","4","3.4 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4000","650–1250 MHz","77 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701098602 BX80637E31245V2","$266 $273"
"Xeon E3-1270 v2","SR0P6 (E1)","4","3.5 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","69 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701098301 BX80637E31270V2","$328 $339"
"Xeon E3-1275 v2","SR0PA (E1)","4","3.5 GHz","2/3/4/4","4 × 256 KiB","8 MiB","HD Graphics P4000","650–1250 MHz","77 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701098702 BX80637E31275V2","$339 $350"
"Xeon E3-1280 v2","SR0P7 (E1)","4","3.6 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","69 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701098404 BX80637E31280V2","$612 $623"
"Xeon E3-1290 v2","SR0PC (E1)","4","3.7 GHz","2/3/4/4","4 × 256 KiB","8 MiB","N/A","N/A","87 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701099101","$884"
"Quad Core, low power","","","","","","","","","","","","","",""
"Xeon E3-1265L v2","SR0PB (E1)","4","2.5 GHz","6/7/9/10","4 × 256 KiB","8 MiB","HD Graphics 2500","650–1150 MHz","45 W","LGA 1155","DMI 2.0","May 14, 2012","CM8063701098906 BX80637E31265L2","$294 $305"
