"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","",""
"Xeon E5-4603 v2","SR1B6 (S1)","4","2.2 GHz","N/A","4 × 256 KiB","10 MiB","95 W","LGA 2011","2 × 6.4 GT/s QPI","4 × DDR3-1333","March 3, 2014","CM8063501453800","$551"
"Six Core","","","","","","","","","","","","",""
"Xeon E5-4607 v2","SR1B4 (S1)","6","2.6 GHz","N/A","6 × 256 KiB","15 MiB","95 W","LGA 2011","2 × 6.4 GT/s QPI","4 × DDR3-1333","March 3, 2014","CM8063501377604","$885"
"Eight Core","","","","","","","","","","","","",""
"Xeon E5-4610 v2","SR19L (C1)","8","2.3 GHz","2/2/2/2/2/2/3/4","8 × 256 KiB","16 MiB","95 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1600","March 3, 2014","CM8063501521600","$1219"
"Xeon E5-4620 v2","SR1AA (M1)","8","2.6 GHz","2/2/2/2/2/2/3/4","8 × 256 KiB","20 MiB","95 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1600","March 3, 2014","CM8063501393202","$1611"
"Xeon E5-4627 v2","SR1AD (M1)","8","3.3 GHz","2/2/2/2/2/2/2/3","8 × 256 KiB","16 MiB","130 W","LGA 2011","2 × 7.2 GT/s QPI","4 × DDR3-1866","March 3, 2014","CM8063501454002","$2108"
"Ten Core","","","","","","","","","","","","",""
"Xeon E5-4624L v2","SR1A1 (M1)","10","1.9 GHz","2/2/3/3/4/4/ 5/5/6/6","10 × 256 KiB","25 MiB","70 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1866","March 3, 2014","CM8063501293407","$2405"
"Xeon E5-4640 v2","SR19R (M1)","10","2.2 GHz","3/3/3/3/3/3/ 3/3/4/5","10 × 256 KiB","20 MiB","95 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1866","March 3, 2014","CM8063501285713","$2725"
"Xeon E5-4650 v2","SR1AG (M1)","10","2.4 GHz","3/3/3/3/3/3/ 3/3/4/5","10 × 256 KiB","25 MiB","95 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1866","March 3, 2014","CM8063501541700","$3616"
"Twelve Core","","","","","","","","","","","","",""
"Xeon E5-4657L v2","SR19F (C1)","12","2.4 GHz","3/3/3/3/3/3/ 3/3/3/3/4/5","12 × 256 KiB","30 MiB","115 W","LGA 2011","2 × 8.0 GT/s QPI","4 × DDR3-1866","March 3, 2014","CM8063501285605","$4394"
