"Model number","sSpec number","Cores (Threads)","Frequency","Turbo Boost All-Core/2.0 (/Max 3.0)","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Xeon Gold 5115","SR3GB (M0)","10 (20)","2.4 GHz","2.8/3.2GHz","10 × 1 MiB","13.75 MiB","85 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303535601","$1221"
"Xeon Gold 5117","","14 (28)","2 GHz","2.3/2.8GHz","14 × 1 MiB","19.25 MiB","105 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2400","11 July 2017","",""
"Xeon Gold 5117F","","14 (28)","2 GHz","2.3/2.8GHz","14 × 1 MiB","19.25 MiB","113 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2400","11 July 2017","",""
"Xeon Gold 5118","SR3GF (M0)","12 (24)","2.3 GHz","2.7/3.2GHz","12 × 1 MiB","16.50 MiB","105 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303536100","$1273"
"Xeon Gold 5119T","SR3MN (M0)","14 (28)","1.9 GHz","2.3/3.2GHz","14 × 1 MiB","19.25 MiB","85 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303567703","$1555"
"Xeon Gold 5120","SR3GD (M0)","14 (28)","2.2 GHz","2.6/3.2GHz","14 × 1 MiB","19.25 MiB","105 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303535900 BX806735120","$1555 $1561"
"Xeon Gold 5120T","SR3GC (M0)","14 (28)","2.2 GHz","2.6/3.2GHz","14 × 1 MiB","19.25 MiB","105 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2400","11 July 2017","CD8067303535700","$1727"
"Xeon Gold 5122","SR3AT (H0)","4 (8)","3.6 GHz","3.7/3.7GHz","4 × 1 MiB","16.50 MiB","105 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303330702 BX806735122","$1221 $1227"
"Xeon Gold 6126","SR3B3 (H0)","12 (24)","2.6 GHz","3.3/3.7GHz","12 × 1 MiB","19.25 MiB","125 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303405900","$1776"
"Xeon Gold 6126F","SR3KE (H0)","12 (24)","2.6 GHz","3.3/3.7GHz","12 × 1 MiB","19.25 MiB","135 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303593400","$1931"
"Xeon Gold 6126T","SR3J9 (H0)","12 (24)","2.6 GHz","3.3/3.7GHz","12 × 1 MiB","19.25 MiB","125 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303593100","$1865"
"Xeon Gold 6128","SR3J4 (H0)","6 (12)","3.4 GHz","3.7/3.7GHz","6 × 1 MiB","19.25 MiB","115 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303592600 BX806736128","$1691 $1697"
"Xeon Gold 6130","SR3B9 (H0)","16 (32)","2.1 GHz","2.8/3.7GHz","16 × 1 MiB","22.00 MiB","125 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303409000 BX806736130","$1900"
"Xeon Gold 6130F","SR3KD (H0)","16 (32)","2.1 GHz","2.8/3.7GHz","16 × 1 MiB","22.00 MiB","135 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303593300","$2049"
"Xeon Gold 6130T","SR3J8 (H0)","16 (32)","2.1 GHz","2.8/3.7GHz","16 × 1 MiB","22.00 MiB","125 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303593000","$1988"
"Xeon Gold 6132","SR3J3 (H0)","14 (28)","2.6 GHz","3.3/3.7GHz","14 × 1 MiB","19.25 MiB","140 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303592500","$2111"
"Xeon Gold 6134","SR3AR (H0)","8 (16)","3.2 GHz","3.7/3.7GHz","8 × 1 MiB","24.75 MiB","130 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303330302 BX806736134","$2214 $2220"
"Xeon Gold 6134M","SR3AS (H0)","8 (16)","3.2 GHz","3.7/3.7GHz","8 × 1 MiB","24.75 MiB","130 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303330402","$5217"
"Xeon Gold 6136","SR3B2 (H0)","12 (24)","3 GHz","3.6/3.7GHz","12 × 1 MiB","24.75 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303405800","$2460"
"Xeon Gold 6138","SR3B5 (H0)","20 (40)","2 GHz","2.7/3.7GHz","20 × 1 MiB","27.50 MiB","125 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303406100 BX806736138","$2612 $2618"
"Xeon Gold 6138F","SR3KK (H0)","20 (40)","2 GHz","2.7/3.7GHz","20 × 1 MiB","27.50 MiB","135 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303593900","$2767"
"Xeon Gold 6138T","SR3J7 (H0)","20 (40)","2 GHz","2.7/3.7GHz","20 × 1 MiB","27.50 MiB","125 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303592900","$2742"
"Xeon Gold 6140","SR3AX (H0)","18 (36)","2.3 GHz","3.0/3.7GHz","18 × 1 MiB","24.75 MiB","140 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303405200 BX806736140","$2445 $2451"
"Xeon Gold 6140M","SR3AZ (H0)","18 (36)","2.3 GHz","3.0/3.7GHz","18 × 1 MiB","24.75 MiB","140 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303405500","$5448"
"Xeon Gold 6142","SR3AY (H0)","16 (32)","2.6 GHz","3.3/3.7GHz","16 × 1 MiB","22.00 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303405400 BX806736142","$2946 $2952"
"Xeon Gold 6142F","SR3KH (H0)","16 (32)","2.6 GHz","3.3/3.7GHz","16 × 1 MiB","22.00 MiB","160 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303593700","$3101"
"Xeon Gold 6142M","SR3B1 (H0)","16 (32)","2.6 GHz","3.3/3.7GHz","16 × 1 MiB","22.00 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303405700","$5949"
"Xeon Gold 6144","SR3MB (H0) SR3TR (H0)","8 (16)","3.5 GHz","4.1/4.2GHz","8 × 1 MiB","24.75 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","Q3 2017","CD8067303657302 CD8067303843000","$2925"
"Xeon Gold 6145","SR3G4 (H0)","20 (40)","2 GHz","2.7/3.7GHz","20 × 1 MiB","27.50 MiB","145 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","2017","CD8067303528200",""
"Xeon Gold 6146","SR3MA (H0)","12 (24)","3.2 GHz","3.9/4.2GHz","12 × 1 MiB","24.75 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303657201","$3286"
"Xeon Gold 6148","SR3B6 (H0)","20 (40)","2.4 GHz","3.1/3.7GHz","20 × 1 MiB","27.50 MiB","150 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303406200 BX806736148","$3072 $3078"
"Xeon Gold 6148F","SR3KJ (H0)","20 (40)","2.4 GHz","3.1/3.7GHz","20 × 1 MiB","27.50 MiB","150 W","LGA 3647","2 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303593800","$3227"
"Xeon Gold 6149","","()","3.1 GHz","","× 1 MiB","MiB","","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","","","OEM"
"Xeon Gold 6150","SR37K (H0)","18 (36)","2.7 GHz","3.4/3.7GHz","18 × 1 MiB","24.75 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303328000","$3358"
"Xeon Gold 6152","SR3B4 (H0)","22 (44)","2.1 GHz","2.8/3.7GHz","22 × 1 MiB","30.25 MiB","140 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303406000 BX806736152","$3655 $3661"
"Xeon Gold 6154","SR3J5 (H0)","18 (36)","3 GHz","3.7/3.7GHz","18 × 1 MiB","24.75 MiB","200 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","11 July 2017","CD8067303592700","$3543"
"Xeon Gold 6161","SR3G7 (H0)","22 (44)","2.2 GHz","2.7/3.0GHz","22 × 1 MiB","30.25 MiB","165 W","LGA 3647","3 × 10.4 GT/s UPI","6 × DDR4-2666","2017","CD8067303532100",""
