"Model number","sSpec number","Cores (Threads)","Frequency","Turbo","L2 cache","L3 cache","GPU model","GPU frequency","TDP","Socket","I/O bus","Release date","Part number(s)","Release price (USD)"
"Quad Core","","","","","","","","","","","","","",""
"Xeon E3-1220 v6","SR329 (B0)","4 (4)","3 GHz","3.5 GHz","4 × 256 KiB","8 MiB","N/A","N/A","72 W","LGA 1151","DMI 3.0","March 2017","BX80677E31220V6 CM8067702870812","$193"
"Xeon E3-1225 v6","SR32C (B0)","4 (4)","3.3 GHz","3.7 GHz","4 × 256 KiB","8 MiB","HD Graphics P630","350–1150 MHz","73 W","LGA 1151","DMI 3.0","March 2017","BX80677E31225V6 CM8067702871024","$213"
"Xeon E3-1230 v6","SR328 (B0)","4 (8)","3.5 GHz","3.9 GHz","4 × 256 KiB","8 MiB","N/A","N/A","72 W","LGA 1151","DMI 3.0","March 2017","BX80677E31230V6 CM8067702870650","$250"
"Xeon E3-1240 v6","SR327 (B0)","4 (8)","3.7 GHz","4.1 GHz","4 × 256 KiB","8 MiB","N/A","N/A","72 W","LGA 1151","DMI 3.0","March 2017","BX80677E31240V6 CM8067702870649","$272"
"Xeon E3-1245 v6","SR32B (B0)","4 (8)","3.7 GHz","4.1 GHz","4 × 256 KiB","8 MiB","HD Graphics P630","350–1150 MHz","73 W","LGA 1151","DMI 3.0","March 2017","BX80677E31245V6 CM8067702870932","$284"
"Xeon E3-1270 v6","SR326 (B0)","4 (8)","3.8 GHz","4.2 GHz","4 × 256 KiB","8 MiB","N/A","N/A","72 W","LGA 1151","DMI 3.0","March 2017","BX80677E31270V6 CM8067702870648","$328"
"Xeon E3-1275 v6","SR32A (B0)","4 (8)","3.8 GHz","4.2 GHz","4 × 256 KiB","8 MiB","HD Graphics P630","350–1150 MHz","73 W","LGA 1151","DMI 3.0","March 2017","BX80677E31275V6 CM8067702870931","$339"
"Xeon E3-1280 v6","SR325 (B0)","4 (8)","3.9 GHz","4.2 GHz","4 × 256 KiB","8 MiB","N/A","N/A","72 W","LGA 1151","DMI 3.0","March 2017","CM8067702870647","$612"
"Xeon E3-1285 v6","SR373 (B0)","4 (8)","4.1 GHz","4.5 GHz","4 × 256 KiB","8 MiB","HD Graphics P630","350–1150 MHz","79 W","LGA 1151","DMI 3.0","August 2017","CM8067702870937","$450"
