"Microarchitectures"
"P5","800 nm P5 600 nm P54C 350 nm P54CS P55C 250 nm Tillamook"
"P6 / Pentium M / Enhanced Pentium M","500 nm P6 350 nm P6 Klamath 250 nm Mendocino Dixon Tonga Covington Deschutes Katmai Drake Tanner 180 nm Coppermine Coppermine T Timna Cascades 130 nm Tualatin Banias 90 nm Dothan Stealey Tolapai Canmore 65 nm Yonah Sossaman"
"NetBurst","180 nm Willamette Foster 130 nm Northwood Gallatin Prestonia 90 nm Tejas and Jayhawk Prescott Smithfield Nocona Irwindale Cranford Potomac Paxville 65 nm Cedar Mill Presler Dempsey Tulsa"
"Core / Penryn","65 nm Merom-L Merom Conroe-L Allendale Conroe Kentsfield Woodcrest Clovertown Tigerton 45 nm Penryn Penryn-QC Wolfdale Yorkfield Wolfdale-DP Harpertown Dunnington"
"Bonnell / Saltwell","45 nm Silverthorne Diamondville Pineview Lincroft Tunnel Creek Stellarton Sodaville Groveland 32 nm Cedarview Penwell Cloverview Berryville Centerton"
"Nehalem / Westmere","45 nm Clarksfield Lynnfield Jasper Forest Bloomfield Gainestown (Nehalem-EP) Beckton (Nehalem-EX) 32 nm Arrandale Clarkdale Gulftown (Westmere-EP) Westmere-EX"
"Sandy Bridge / Ivy Bridge","32 nm Sandy Bridge Sandy Bridge-E Gladden 22 nm Ivy Bridge Ivy Bridge-EP Ivy Bridge-EX"
"Haswell / Broadwell","22 nm Haswell 14 nm Broadwell"
"Silvermont / Airmont","22 nm Valleyview Tangier Anniedale 14 nm Cherryview"
"Skylake / Kaby Lake / Coffee Lake / Cannon Lake","14 nm Skylake Kaby Lake Coffee Lake 10 nm Cannon Lake"
"Goldmont","14 nm Goldmont Goldmont Plus"
"Future (Ice Lake / Tiger Lake / Sapphire Rapids)","10 nm Ice Lake Tiger Lake 7 nm or 10 nm Sapphire Rapids"
