"Model Number","sSpec Number","Frequency","L2 Cache","FSB","Mult","Voltage","TDP","Socket","Release Date","Part Number(s)","Release Price (USD)"
"Dual Core","","","","","","","","","","",""
"Xeon 5020","SL96F (C1)","2500 MHz","2 × 2048 KB","667 MT/s","15x","1.075–1.35 V","95 W","LGA 771","2006","HH80555KF0604M BX805555020A BX805555020P","OEM"
"Xeon 5030","SL96E (C1)","2667 MHz","2 × 2048 KB","667 MT/s","16x","1.075–1.35 V","95 W","LGA 771","May 23, 2006","HH80555KF0674M BX805555030A BX805555030P","$156"
"Xeon 5040","SL96D (C1)","2833 MHz","2 × 2048 KB","667 MT/s","17x","1.075–1.35 V","95 W","LGA 771","2006","HH80555KF0734M BX805555040A","OEM"
"Xeon 5050","SL96C (C1)","3000 MHz","2 × 2048 KB","667 MT/s","18x","1.075–1.35 V","95 W","LGA 771","May 23, 2006","HH80555KF0804M BX805555050A BX805555050P","$177"
"Xeon 5060","SL96A (C1)","3200 MHz","2 × 2048 KB","1066 MT/s","12x","1.075–1.35 V","130 W","LGA 771","May 23, 2006","HH80555KH0884M BX805555060A BX805555060P","$316"
"Xeon 5070","SL969 (C1)","3467 MHz","2 × 2048 KB","1066 MT/s","13x","1.075–1.35 V","130 W","LGA 771","2006","HH80555KH0994M BX805555070A BX805555070P","OEM"
"Xeon 5080","SL968 (C1)","3733 MHz","2 × 2048 KB","1066 MT/s","14x","1.075–1.35 V","130 W","LGA 771","May 23, 2006","HH80555KH1094M BX805555080A BX805555080P","$851"
"Dual Core, medium voltage","","","","","","","","","","",""
"Xeon MV 5063","SL96B (C1)","3200 MHz","2 × 2048 KB","1066 MT/s","12x","1.075–1.35 V","95 W","LGA 771","May 23, 2006","HH80555QH0884M","$369"
